Name,key,Style,Style Key,Brewery,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Smoke & Dagger,903,Lager - Rauchbier,23,Jack's Abby Brewing,"Notes:Cloaked in mystery, this dark black beer skirts the line between a schwarzbier and smoked porter. The use of a small percentage of traditional Beechwood smoked malt adds complexity and balances the liberal use of chocolate malt. Notes of roasted grains, beechwood smoke,and coffee accompany a full bodied-and sweet chocolately malt character. Smoke & Dagger uses locally grown unmalted barley from MA.25 IBU	",5.8,3.95,20,30,18,90,10,53,71,12,0,26,45,103,128
Aecht Schlenkerla Eiche,904,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:Facts on Aecht Schlenkerla Eiche:While for the classic Aecht Schlenkerla Rauchbier traditionally beech has been — and still is — used, the malt for Schlenkerla Oak Smoke is kilned with oak wood. The resulting Schlenkerla Oak Smokemalt has a smoother and more multilayered smoky note than the intensely aromatic beech smokemalt. The hence complex smokiness in this double bock is paired with the multifaceted bitterness of finest Hallertau aroma hops. With 8% alcohol and amber color it matures for months in the 14th century brewery cellars into a special treat for smoke beer lovers. As one of the last traditionally made smoked beers, Aecht Schlenkerla Rauchbier is a passenger in the „Ark of Taste” by SlowFood®.Brewed with 100% Schlenkerla Oak Smoke Malt40 IBU from finest aroma hopsBernstein (amber) color	",8,4.11,20,30,6,47,16,25,47,11,0,13,34,95,58
Aecht Schlenkerla Rauchbier Weizen,905,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:Schlenkerla Smokebeer Wheat is an ale with light smoky aroma. As Bavarian wheat beers, it is being brewed with a mixture of both barley malt and wheat malt. The portion of barley malt is hereby a classic Schlenkerla smokemalt, while the wheat malt remains unsmoked. Served unfiltered with its natural haziness, Schlenkerla Wheat reaches its full aroma through bottle fermentation with fine top fermenting yeast.	",5.2,3.97,20,30,10,43,9,14,34,19,0,21,15,122,98
Samuel Adams Cinder BockBoston Beer Company (Samuel Adams),906,Lager - Rauchbier,23,Boston Beer Company (Samuel Adams),Notes:,9.45,3.62,20,30,2,67,29,16,70,5,7,7,11,75,78
Aecht Schlenkerla Fastenbier (Lentbeer),907,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:The Original Schlenkerla Lentbeer is an unfiltered smokebeer, brewed according to the Bavarian Purity Law of 1516. Bottom-fermenting yeast gives the reddish brown lentbeer a natural cloudiness. Its smokey aroma is already noticeable in the smell, combined with a fine hoppy note. In the drink the fullbodied, highly drinkable lentbeer shows its strong malty flavour, rounded up with the smokey taste and a light bitterness. Due to the nourishing yeast, the Original Schlenkerla Lentbeer has the ""Brotzeit already included"" (German word for afternoon snack).	",5.9,4.27,20,30,15,66,12,55,63,7,1,9,69,121,106
Fire In The Ham,908,Lager - Rauchbier,23,Jack's Abby Brewing,"Notes:Caution! This is an intensely smokey lager similar to those found in Bamberg, Germany. Most of this brew's malt was dried over flaming beechwood, which ingrains unique smokey flavors. Aromas of campfires, smoked ham, and bacon dominate a soft malt and hop backbone. Although hard to believe, this beer is vegan friendly.20 IBU	",5.4,3.87,20,30,14,26,5,15,26,10,3,13,12,109,48
Lager,909,Lager - Rauchbier,23,Brauerei Spezial,"Notes:Unser Lagerbier ist die bekannteste Rauchbiersorte aus unserem Spezialitätenangebot. Das bernsteinfarbige Bier mit seinem feinem, mildem Rauchgeschmack lässt auch Skeptiker zum überzeugten Rauchbierfan werden. Der Stammwürzgehalt dieses Bieres beträgt ca.12% - daraus resultiert der Alkoholgehalt mit ca.4,7%	",4.7,3.76,20,30,23,37,6,8,38,12,4,15,7,77,70
Coffee Smoke & Dagger,910,Lager - Rauchbier,23,Jack's Abby Brewing,Notes:,5.8,3.89,20,30,20,75,10,122,59,11,1,14,31,72,167
Trösten,911,Lager - Rauchbier,23,von Trapp Brewing,"Notes:Trösten, translating to “comforting”, is a dark lager with rich notes of chestnut and toast. Carafa and smoked malts create rich flavors lingering on a surprisingly light, smooth finish. Brewed for the cold winter nights in Vermont, but can be enjoyed on any occasion.	",6,4.04,20,30,22,75,9,50,60,5,2,11,31,90,114
Rauch Ür Bock,912,Lager - Rauchbier,23,Caldera Brewing Company,Notes:,7.4,4.09,20,30,6,34,8,15,74,17,2,19,12,99,64
Eisenbahn Rauchbier,913,Lager - Rauchbier,23,Cervejaria Sudbrack Ltda,Notes:,6.3,3.9,20,30,13,38,14,27,74,14,0,22,27,95,100
SWISHR - Cherry,914,Lager - Rauchbier,23,Carton Brewing Company,"Notes:Smoked malt is one of the more dubious tools in a brewer's bag because thresholds are vastly different. What to one palate is a hint of bacon or a whiff of BBQ to another is ashtray or Band-Aids. How can Carton ignore playing this game? Where can smoldering aromatics go off the beaten craft? in SWISHR we have reassembled the deconstructed aspects of Swisher Wrap. Rich dark malts brought smoky by the addition of oak smoked pale wheat, touched with sour cherries and a heavy plug of hops that smell like their cousins. Drink SWISHR and hand me down a 50-pack.https://www.youtube.com/watch?v=_FrjOyymwWY&list=UUnN44_ILc3y0x6WbvjLR1Kg ",6,4.04,20,30,8,29,2,36,25,20,0,32,19,54,54
Ludwig's Revenge,915,Lager - Rauchbier,23,Roy Pitz Brewing Company,Notes:,5,3.86,20,30,16,69,8,38,55,3,0,3,17,65,83
Göller Rauchbier,916,Lager - Rauchbier,23,Brauerei Göller Zur Alten Freyung,Notes:,4.9,3.94,20,30,13,46,11,26,45,18,6,18,42,84,80
Saranac Rauchbier Smoked Lager,917,Lager - Rauchbier,23,Matt Brewing Company / Saranac Brewery,Notes:,5.6,3.31,20,30,15,49,8,21,27,14,0,14,29,76,72
Punkrauch,918,Lager - Rauchbier,23,Le Trou Du Diable,Notes:,6.5,3.7,20,30,12,58,11,28,69,16,1,18,21,100,96
Zwönitzer Rauchbier,919,Lager - Rauchbier,23,Brauerei-Gasthof Zwönitz,"Notes:You will love or hate it. A smoked beer is a real specialty. Invite friends to BBQ and have them all taste it. You will have much to discuss. A beer that will be remembered for a long time. The smell of this smoked beer reveals first smoky aromas, the taste is less smoky than is the case with other smoked beers. You could say this is a starter smoke beer.	",4.8,3.74,20,30,8,53,11,33,23,1,0,3,30,122,70
Roog,920,Lager - Rauchbier,23,BraufactuM - Die Internationale Brau-Manufacturen GmbH,Notes:,6.3,3.63,20,30,5,33,11,16,45,18,3,32,14,60,75
Orange Swisher,921,Lager - Rauchbier,23,Carton Brewing Company,"Notes:Smoked malt is one of the more dubious tools in a brewer's bag because thresholds are vastly different. What to one palate is a hint of bacon or a whiff of BBQ to another is ashtray or Band-Aids. How can Carton ignore playing this game? Where can smoldering aromatics go off the beaten craft? In Orange Swisher we have reassembled the deconstructed aspects of a flavored blunt. Rich, dark malts rendered smoky by the addition of oak smoked pale wheat touched with orange zest and a heavy plug of the hops that smell like their cousins. Drink Orange Swisher and hand me down a 50-pack.https://www.youtube.com/watch?v=06JSt1WENs8 ",6,3.94,20,30,3,12,3,21,2,16,0,19,12,35,19
Rauchbier,922,Lager - Rauchbier,23,Southern Star Brewing Company,Notes:,5.6,3.53,20,30,19,33,11,20,30,13,0,7,27,105,53
Chicago Smoke,923,Lager - Rauchbier,23,Revolution Brewing,"Notes:A German Style Rauchbier brewed with 95% smoked malts for a seriously Smokey lager. With a little caramel sweetness and a Fuller body, this is a great style of beer for smoked meats and food off the grill.	",6.2,3.74,20,30,2,12,2,3,14,0,0,2,1,28,19
Bonfire Of The Valkyries,924,Lager - Rauchbier,23,New Albanian Brewing Company - Pizzeria and Public House,"Notes:20 IBU	",8,3.75,20,30,12,84,11,45,60,5,2,2,23,96,98
Friar Bacon Smoked Bock,925,Lager - Rauchbier,23,Listermann Brewing Company,Notes:,7,3.71,20,30,5,25,6,6,32,5,1,9,3,65,25
Rauchbier,926,Lager - Rauchbier,23,Sly Fox Brewing Company,Notes:,5.2,4.04,20,30,16,45,13,24,38,6,2,3,25,107,69
Märzen,927,Lager - Rauchbier,23,Brauerei Spezial,"Notes:Dunkles, malzaromatisches Bier mit kräftigem Rauchgeschmack. Eine Spezialität die mit ca.13% Stammwürze eingebraut wird. Dieses Bier wird gerne von Leuten getrunken die etwas ""Stärkeres"" vorziehen.	",5.3,4.08,20,30,17,49,6,26,53,17,0,15,27,90,79
Aecht Schlenkerla Kräusen,928,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:Also known as Helles Märzen Kräusen Blend.In the world of German brewing, Kräusen refers to the intense proliferation of bubbles and foam formed during fermentation of a young or “green” beer. And Aufkräusen (literally to kräusen it up), refers to a historic brewing technique in which some green beer is added to a fully-matured lager. This is a very old and very typically German tradition, and today even English-speaking brewers refer to this technique as krausening. Krausening brings the vibrant freshness of young beer to the more refined, austere flavors of a fully-matured lager.Aecht Schlenkerla Kräusen starts out as normal Helles Schlenkerla Lager and matures for months in the old rock cellars underneath the brewery. Just before filling it is blended using the before mentioned ""Kräusen"" technique with classic Märzen Rauchbier. The result is an unfiltered, bottom fermented and amber color Märzen Lager hybrid with a vibrant and slightly smoky flavor.IBU: 30	",4.55,4.06,20,30,29,56,12,22,23,13,1,6,28,93,67
Smoky MaryNew Orleans Lager & Ale Brewing Company (NOLA),929,Lager - Rauchbier,23,New Orleans Lager & Ale Brewing Company (NOLA),"Notes:We’ve stepped out of the boxcar and created our own take on a German Rauchbier (Smoke beer). Instead of using Beechwood, we have selected the indigenous pecan wood and smoked a munich malt in our homemade malt smoker.The Smoky Mary has a subtle smoked flavor that pairs well with barbeque and just about anything off of the grill. She clocks in at 5.3% alcohol by volume, which makes it a nice sessionable smoked beer.	",5.3,3.96,20,30,3,11,3,6,15,2,0,2,6,51,34
Smoke Out,930,Lager - Rauchbier,23,Starr Hill Brewery,Notes:,8,3.53,20,30,3,30,3,3,23,10,1,7,2,33,22
Deep Purple Rauchbier,931,Lager - Rauchbier,23,Marshall Wharf Brewing Company / Three Tides Restaurant,"Notes:Smoke on the water! This Bamberg inspired smoked ale is bacon in a glass. Very polarizing beer, you either like the style and taste, or you never want to drink it again. Unique, brewed using German malts and Noble hops.	",6.2,3.84,20,30,2,11,4,3,16,6,0,6,5,38,18
Manzanita,932,Lager - Rauchbier,23,Fort Point Beer Company,"Notes:Manzanita is an imaginative take on the classic German rauchbier, combining traditional ingredients with inspiration from the Northern California wilderness. An assertive, multi-layered smoke aroma -- courtesy of beechwood-smoked malts and charred manzanita branches -- gives way to a light-bodied structure and a surprisingly delicate balance of flavors: nutty, herbal, sweet and savory. A beer for a campfire on a crisp fall night.	",6.5,4.02,20,30,3,9,0,5,10,2,0,3,4,21,19
The Lubitsch Touch,933,Lager - Rauchbier,23,Right Proper Brewing Company - Shaw Brewpub,"Notes:Smokey, Balanced, Refreshing. This pale beer is brewed with a blend of both beech wood and cherry wood smoked malts. The Lubitsch Touch is very light and refreshing take on a German rauchbier, with just a touch of balanced smoke in the finish.	",4.7,3.95,20,30,3,12,0,1,1,2,1,4,3,17,11
Schwarzer Rauch,934,Lager - Rauchbier,23,Live Oak Brewing Company,Notes:,4.5,3.77,20,30,3,11,3,0,9,1,0,3,1,14,22
Smokey The Beer,935,Lager - Rauchbier,23,Zero Gravity Craft Brewery / American Flatbread,"Notes:This style is brewed using a majority of beechwood- smoked malt (smoked in Bamberg). The smoke character is well integrated and balanced by a hint of roasted malt and German hops.	",5.2,3.98,20,30,4,12,2,5,11,0,0,0,7,19,22
Smokin',936,Lager - Rauchbier,23,Great North Aleworks,Notes:,5.5,3.94,20,30,3,9,0,9,9,2,2,4,14,33,27
Smoke Monster,937,Lager - Rauchbier,23,Black Husky Brewing,"Notes:Smokey is a dog not quite right in the head, some might even say insane. One of her most beloved activities is digging a deep hole in the ground and barking into it for hours on end. We aren’t quite sure what she’s looking for but we suspect she is looking to take on the Smoke Monster. If anyone could defeat the Smoke Monster it would be Smokey so we offer you Smoke Monster in recognition of her tireless efforts.	",9.9,4.2,20,30,6,29,4,9,16,5,0,1,8,56,29
Rauchbier,938,Lager - Rauchbier,23,Iron Hill Brewery & Restaurant,"Notes:Bamburg-style German amber lager made with beech wood smoked malt giving this beer a distinct smoked character in both aroma and flavor.	",3.8,3.98,20,30,10,32,12,10,56,27,2,32,6,87,45
Peach Swisher,939,Lager - Rauchbier,23,Carton Brewing Company,"Notes:Smoked malt is one of the more dubious tools in a brewer's bag because thresholds are vastly different. What to one palate is a hint of bacon or a whiff of BBQ to another is ashtray or Band-Aids. How can Carton ignore playing this game? Where can smoldering aromatics go off the beaten craft? In Peach Swisher we have reassembled the deconstructed aspects of a flavored blunt. Rich, dark malts rendered smoky by the addition of oak smoked pale wheat touched with peach and a heavy plug of the hops that smell like their cousins. Drink Peach Swisher and hand me down a 50-pack.https://www.youtube.com/watch?v=1oMIuGs9wWY&t=3s ",6,3.96,20,30,4,8,0,8,4,2,0,21,7,15,11
Weiherer Rauch,940,Lager - Rauchbier,23,Brauerei Gasthof Kundmüller,Notes:,5.3,3.52,20,30,11,29,8,19,24,13,0,9,24,54,27
Wildfire Rauchbier,941,Lager - Rauchbier,23,Penobscot Bay Brewery,"Notes:The smokiness and color of Wildfire Rauchbier comes entirely from using only specialty grains. Weyermann Rauchmalz for the signature flavor, Munich for body, Cara-Pils adds richness and Carafa deep color.	",5.4,3.58,20,30,10,32,3,14,42,14,0,16,9,57,70
Affumicator,942,Lager - Rauchbier,23,Gänstaller Braumanufaktur,Notes:,9.8,3.96,20,30,3,20,10,7,29,2,0,6,10,36,25
Smokehaus Rauchbier,943,Lager - Rauchbier,23,Devils Backbone Brewing Company,Notes:,5.3,3.64,20,30,1,6,1,2,7,0,0,0,1,17,12
Weisser Rauch,944,Lager - Rauchbier,23,Live Oak Brewing Company,Notes:,5.3,3.81,20,30,1,1,1,2,3,3,0,3,3,11,4
Smoked Lager,945,Lager - Rauchbier,23,Bell's Brewery - Eccentric Café & General Store,Notes:,5.9,3.59,20,30,9,13,2,4,6,3,0,3,4,42,20
Hallerndorfer Raiterla Rauchbier,946,Lager - Rauchbier,23,Brauerei Gasthof Rittmayer,Notes:,5,3.83,20,30,6,13,6,8,16,2,3,3,10,34,27
Rauchbock,947,Lager - Rauchbier,23,Appalachian Brewing Company,Notes:,7,3.66,20,30,6,26,9,15,17,3,0,4,19,55,42
Bamberg Rauchbier,948,Lager - Rauchbier,23,Micro Cervejaria Bamberg,Notes:,4.8,3.65,20,30,8,9,5,2,7,3,0,2,2,23,20
Rauchbier,949,Lager - Rauchbier,23,Fort Hill Brewery,"Notes:26% of the grain bill is composed of beech-smoked barley malt, an ingredient made famous in the Bavarian town of Bamberg. She has the nose of cured meat, and the brew pairs perfectly with cheese, olives, and fresh bread. A dark amber brew, the flavor is truly unique to its color.	",5.9,3.55,20,30,4,10,5,2,11,8,0,8,3,24,26
Bishop Bob's Holy Smoke,950,Lager - Rauchbier,23,Dragonmead Microbrewery,"Notes:This beer is a Bamberg-style Rauchbier. The town of Bamberg in Germany originated the style of smoked beers. These beers are made with a dose of smoked barley. Our recipe relies on a light bock recipe for its base and contains about 20% imported smoked barley. The noble German hops are used to balance the taste into a unique beer drinking experience.	",5.6,3.65,20,30,3,15,1,5,19,4,2,5,6,37,30
Samuel Adams Black LagerBoston Beer Company (Samuel Adams),951,Lager - Schwarzbier,24,Boston Beer Company (Samuel Adams),"Notes:Literally translated as “black beer,” schwarzbiers are one of the oldest and most traditional German beer styles. Dating back to around 800 BC, this dark, roasty beer combines caramel and chocolate malt notes with a bright flavor and crisp finish.	",4.9,3.73,20,30,16,57,3,45,38,3,0,5,18,4,94
Schwarzbier,952,Lager - Schwarzbier,24,Köstritzer Schwarzbierbrauerei GmbH & Co.,"Notes:First-class, refined ingredients, the unique recipe and a passionate brewing tradition that you can taste: Köstritzer Schwarzbier stands for pleasure in perfection. It is the unique roasting of malting barley to the finest roasted malt, which gives Köstritzer Schwarzbier its unique malt aroma and unmatched character.The market leader in the segment of bottom-fermented, dark beers presents itself in an elegant, bubbly manner, and promises a special kind of beer experience at first sight with its strong color and pronounced foam crown.Taste the difference and enjoy Germany's most popular black beer.	",4.8,3.92,20,30,26,80,13,59,51,17,1,13,41,24,123
Shiner Bohemian Black Lager,953,Lager - Schwarzbier,24,Spoetzl Brewery,"Notes:Germans call it a schwarzbier (black beer), but Shiner fans know this one as Shiner 97. Unusually smooth for a dark beer, our Bohemian black lager is brewed with roasted malts and Czech Saaz and Styrian hops. All else pales in comparison.	",4.9,3.47,20,30,8,47,6,52,36,4,0,5,35,5,91
Xingu Black Beer,954,Lager - Schwarzbier,24,Cervejaria Kaiser,Notes:,4.7,3.49,20,30,12,62,7,21,41,11,1,22,10,5,69
Baba Black Lager,955,Lager - Schwarzbier,24,Uinta Brewing Company,"Notes:Robust and smooth, this full-flavored lager is exceptionally drinkable and pitch black in color.32 IBU	",4,3.77,20,30,28,69,4,48,41,9,0,9,29,13,101
Saranac Black Forest Black Beer,956,Lager - Schwarzbier,24,Matt Brewing Company / Saranac Brewery,"Notes:A Bavarian Black beer with distinctive caramel malt sweetness and a rich creamy trademark head. Flavorful, yet smooth…very drinkable!	",5.5,3.75,20,30,19,43,3,31,57,10,0,15,34,3,73
Howl,957,Lager - Schwarzbier,24,Magic Hat Brewing Company,"Notes:Born of dark and cold and snow in the marrow of the northeast's longest night, Howl comes in on wailing winds with winter-weary eyes burning holes in sunless shadows. In its darkened depths our inner voids are warmed.32 IBU	",4.6,3.68,20,30,22,74,7,69,42,4,0,2,33,14,114
Black Bavarian,958,Lager - Schwarzbier,24,Sprecher Brewing Company,"Notes:Bronze Medal Winner in the European Darks category at the 1988 Great American Beer Festival (GABF).	",6,4.07,20,30,9,59,9,58,37,4,0,3,30,9,107
Session Black Lager,959,Lager - Schwarzbier,24,Full Sail Brewing Company,"Notes:ABV 5.4% IBU 18	",5.4,3.69,20,30,7,29,7,19,25,8,0,6,12,4,49
Mönchshof Schwarzbier,960,Lager - Schwarzbier,24,Kulmbacher Brauerei AG,Notes:,4.9,4.06,20,30,13,70,5,43,52,11,1,14,34,7,100
KCCO Black Lager,961,Lager - Schwarzbier,24,Resignation Brewery,"Notes:A toast lager with notes of chocolate and coffee. Unlike a heavy porter or a stout it’s amazingly light, crispy, and sessionable. KCCO Black is a delicious misfit.Brewed & Bottled by Redhook Ale Brewery.	",5.1,3.39,20,30,14,40,2,45,34,9,0,8,25,4,80
Rogue Farms Dirtoir Black Lager,962,Lager - Schwarzbier,24,Rogue Ales,"Notes:Malts: Melanoidin, Carafe Special II, Black, Chocolate and Rogue Micro-Barley Farm first growth Risk malts.Hops: Rogue Micro-Hop Yard first growth Independent and Revolution.Yeast & Water: Oktoberfest Yeast & Free Range Coastal Water.15º PLATO35 IBU130 AA75º Lovibond	",6,4.03,20,30,18,104,17,82,60,6,0,14,70,22,151
Ugly Pug Black Lager,963,Lager - Schwarzbier,24,Rahr & Sons Brewing Company,Notes:,4.5,3.65,20,30,14,53,4,40,55,2,1,1,26,8,75
Black Lager,964,Lager - Schwarzbier,24,Devils Backbone Brewing Company,"Notes:Formerly known as Schwartz BierWe like this beer for lots of reasons. It’s a traditional old world beer style and it’s a lager, so it takes time to make but it also has roasted & toasted malt flavors. And while it’s light to medium in body, it’s black with a quick, crisp finish. Add in six imported malts and two European hop varieties, you’ll taste why this true to style DB favorite is an award winner!Malts: Pilsner, Carafa II Special, Dark Munich, CaraRed, Bohemian Pilsner, MelanoidinHops: Northern Brewer, SaazIBU: 22COLOR: Black	",5.1,3.84,20,30,24,50,6,37,46,5,0,7,19,15,107
Krušovice Cerne,965,Lager - Schwarzbier,24,Královský Pivovar Krušovice a.s.,Notes:,3.8,3.59,20,30,24,58,3,58,40,6,0,7,49,6,91
McSorley's Irish Black Lager,966,Lager - Schwarzbier,24,Pabst Brewing Company,Notes:,5.5,3.49,20,30,31,73,5,68,64,11,0,9,55,2,123
Schwarzbier,967,Lager - Schwarzbier,24,The Duck-Rabbit Craft Brewery,"Notes:The Duck-Rabbit Schwarzbier is a refreshing summer lager (sometimes referred to as a ""black pils""). In true Duck-Rabbit fashion, we've made ours extra schwarzy! It's very dark and quite roasty. Lots of Hallertau hops give this brew an authentic German character.	",5.8,4.02,20,30,21,78,6,83,37,3,2,5,59,26,131
Insulated Dark Lager,968,Lager - Schwarzbier,24,Brooklyn Brewery,"Notes:Brooklyn Insulated Dark Lager is your protection against biting wind and soggy weather. German Munich, roasted Carafa, and Pilsner malts create a nimble, racy body, while a helping of American black barley adds just a hint of roast coffee. A light dry hopping of American and German hops pitter-patters across the nose and dives into the dry, warming finish. Try it with dark breads, hearty meats, and sturdy cheddars. If you still feel the chill, just add another layer and enjoy your insulation.	",5.6,3.86,20,30,22,63,8,56,46,4,0,7,42,8,104
Dark Helmet,969,Lager - Schwarzbier,24,Westbrook Brewing Co.,"Notes:Dark Helmet is a German-style black lager (or Schwarzbier) brewed with 10% malted rye. Chocolate and Carafa malts give this beer its dark color and ludicrously smooth, roasty flavor. May the Schwarz be with you!25 IBU	",6,3.86,20,30,7,61,2,46,34,2,0,2,30,14,109
Krombacher Dark,970,Lager - Schwarzbier,24,Krombacher Brauerei,Notes:,4.7,3.49,20,30,17,47,3,34,36,1,0,1,24,8,88
Einbecker Schwarzbier,971,Lager - Schwarzbier,24,Einbecker Brauhaus AG,Notes:,4.9,3.78,20,30,21,69,6,56,59,13,0,26,47,5,131
S1nist0r Black Ale,972,Lager - Schwarzbier,24,10 Barrel Brewing Co.,"Notes:We craft our S1NIST0R Black Ale using a special German dehusked black malt that is free of astringency, giving the beer a rich black color without the traditional dark beer characteristics. You will notice subtle hints of chocolate with an easy drinking balance on the back end. In the glass the dark color may look intimidating to some, but don't let this beer fool you. Our unique combination of malts creates a very light body and smooth finish.28 IBU	",5.7,3.65,20,30,10,67,10,47,31,15,0,12,31,12,79
Schwarzbier,973,Lager - Schwarzbier,24,Gordon Biersch Brewery Restaurant,"Notes:21 IBU	",4.2,3.71,20,30,21,72,0,40,54,7,1,4,11,15,107
Black Thunder,974,Lager - Schwarzbier,24,Austin Beerworks,Notes:,5.2,3.75,20,30,23,70,4,61,47,9,0,6,41,4,127
BREWtality - Espresso Black Bier,975,Lager - Schwarzbier,24,Midnight Sun Brewing Co.,"Notes:Combining jet black color with incredibly smooth texture and decadent coffee flavor, BREWTALITY breaks the expectations of both rich espresso and dark beer to create a whole 'nuther beast. While brutal in alcoholic strength, this biggie beautifully showcases its roasted malt and coffee flavors without bringing on bitterness and bite. This is the first of two lagers in the series.17 IBU	",9.7,4.14,20,30,16,129,40,143,92,19,0,22,39,13,214
Sustenance Black Beer - Bourbon Barrel-Aged,976,Lager - Schwarzbier,24,Short's Brewing Company,"Notes:Sustenance Black Beer aged it in bourbon barrels for 11 months.	",6.5,4.05,20,30,14,98,126,28,67,23,0,17,18,31,159
Reasonably Corrupt,977,Lager - Schwarzbier,24,Great Raft Brewing,"Notes:A black lager with dark and roasty malt sweetness. Don’t let the darkness fool you – this is a sweeter, fuller-bodied version of the premium lager you know and love. It has a smooth, crisp finish, with depth of color and taste.ABV: 5.5%IBU: 30TYPE: Year-AroundMalts: Premium Pilsen, Chocolate, Caramel, MunichHops: Fuggles, HallertauerYeast: House GermanNotes: Pairs well with BBQ, smoked Gouda, and chocolate.	",5.5,3.91,20,30,31,84,11,72,71,13,2,10,70,21,139
Sustenance Black Bier,978,Lager - Schwarzbier,24,Short's Brewing Company,Notes:,6,3.8,20,30,20,101,22,89,71,27,0,21,70,30,119
Dark Helmet Imperial Schwarzbier,979,Lager - Schwarzbier,24,The Brew Kettle Taproom & Smokehouse / Production Works,"Notes:A true TBK original, we kick this German-style black lager up a couple notches. Big clean malty flavor with just a hint of roasted malt.""May the Schwartz be with you!""	",8,3.78,20,30,15,86,28,48,96,19,0,22,34,23,140
Blackwing Lager,980,Lager - Schwarzbier,24,Union Craft Brewing Company,"Notes:A Champion of FlavorThis crisp clean dark lager begins with hints of roasted coffee beans and rich chocolate but showcases a surprisingly light body and mouthfeel. This Schwarzbier (German for “Black Beer”) is moderately hopped with Noble German hops that complement the delicate malt backbone. Not to be underestimated this light lager is a true champion of flavor! Caw!BITTERNESS (IBU): 27COLOR: Dark brownMALT: Pilsner, Munich Carared, Carafa, Caramunich Type 2HOPS: PerleYEAST: German Lager	",4.9,3.86,20,30,31,46,9,63,39,11,1,11,50,7,93
Zeitgeist,981,Lager - Schwarzbier,24,BrewDog,Notes:,4.9,3.67,20,30,31,88,9,70,67,20,1,21,46,14,123
Das Kleine Schwarz Einhorn,982,Lager - Schwarzbier,24,3 Floyds Brewing Co.,"Notes:Ever seen a unicorn? How about a baby German one that's not white, but black? Well now is your chance to let one merrily prance across your pallet. This black German-style session lager is refreshing, crisp and mystically intriguing with its maltiness.23 IBU	",5.5,3.97,20,30,11,55,3,41,38,0,0,2,19,12,94
LA-31 Bière Noire,983,Lager - Schwarzbier,24,Bayou Teche Brewery,"Notes:We use specially roasted German malts and select American hops which provide our LA-31 Bière Noire a small bite of noble bitterness and a dry, French roasted coffee flavor.	",5.25,3.62,20,30,13,57,7,41,46,16,0,14,27,5,90
Black Radish Dark Lager,984,Lager - Schwarzbier,24,Weeping Radish Eco Farm & Brewery,Notes:,5.3,3.44,20,30,20,66,5,52,47,11,0,11,28,6,113
Samuel Adams Coffee Black LagerBoston Beer Company (Samuel Adams),985,Lager - Schwarzbier,24,Boston Beer Company (Samuel Adams),Notes:,4.9,3.75,20,30,17,73,7,111,45,5,1,4,33,8,139
Stargrazer,986,Lager - Schwarzbier,24,Bauhaus Brew Labs,Notes:,5,3.88,20,30,18,68,6,43,42,7,0,8,36,7,89
Das Schwarze,987,Lager - Schwarzbier,24,Dinkelacker-Schwabenbraeu AG,Notes:,4.9,3.7,20,30,18,72,2,45,68,8,0,11,36,5,134
Magnetron,988,Lager - Schwarzbier,24,Metropolitan Brewing,Notes:,5.5,4.02,20,30,20,86,5,56,66,13,1,8,44,11,136
5 O'Clock Shadow,989,Lager - Schwarzbier,24,Grand Teton Brewing Co.,"Notes:5 O’Clock Shadow Double Black Lager is brewed in the German Schwarzbier (black beer) tradition. Schwarzbier is to lager what stout or porter is to ale. Like those dark British beers, Schwarzbier has long been considered nourishing and even curative. German doctors often recommend Schwarzbier for nursing mothers. Our Brewmaster, born in Munich, was the beneficiary of just such advice.We have taken the traditional Schwarzbier, intended to be a “session beer” with typically moderate alcohol, and almost doubled its strength to 7.6% alcohol by volume. We brewed our version with a fine balance of crystal and roasted malts and spiced it with noble hops. We fermented 5 O’Clock Shadow at cold temperatures with a select German lager yeast and cold-conditioned it for over four months to create a velvety smooth, easy drinking springtime brew.This German lager pours a deep brown, almost black color with ruby highlights. It has soft dark chocolate notes with hints of caramel and a light roasty finish.38 IBU	",7.6,4.08,20,30,20,96,20,59,64,7,0,7,34,14,124
Monteith's Black,990,Lager - Schwarzbier,24,Monteith's Brewing Co.,Notes:,5.2,3.59,20,30,12,77,7,40,61,8,0,4,17,8,108
B3K Black Lager,991,Lager - Schwarzbier,24,Wynkoop Brewing Company,Notes:,5.5,3.56,20,30,34,63,11,49,46,9,0,5,29,24,104
Miner Mishap,992,Lager - Schwarzbier,24,Choc Beer Co. / Pete's Place,"Notes:28 IBU	",5.3,3.61,20,30,18,81,13,58,82,14,0,5,29,15,121
